@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute classification {0,1,2,3,4,5}
@attribute regression numeric

@data
478,'2017/02/12 13:20:02:271',2,-379.760773,-232.106445,2010.231689,121.464218,-246.757767,2187.270508,-152.139832,414.685272,2030.826538,3,?
479,'2017/02/12 13:20:02:303',2,-384.052094,-240.612808,2068.785156,127.880203,-245.954132,2202.541016,-153.872253,418.187073,2052.545166,3,?
480,'2017/02/12 13:20:02:336',2,-382.164215,-247.942642,2127.405518,138.184402,-237.929474,2219.505859,-155.355804,416.104492,2076.916992,3,?
481,'2017/02/12 13:20:02:370',2,-384.891479,-254.025375,2178.493164,148.701782,-234.244598,2234.900146,-155.730606,415.535095,2105.595703,3,?
482,'2017/02/12 13:20:02:403',2,-379.425476,-260.143005,2234.295654,153.577362,-237.849609,2238.48999,-157.88324,416.872772,2133.960449,3,?
483,'2017/02/12 13:20:02:438',2,-374.997223,-254.427856,2277.027832,156.466614,-242.279465,2248.939453,-154.676743,412.622925,2168.114746,3,?
484,'2017/02/12 13:20:02:470',2,-374.381317,-256.51062,2316.064209,157.53833,-246.01268,2256.9646,-151.342361,409.033997,2195.689453,3,?
485,'2017/02/12 13:20:02:505',2,-362.120636,-263.424561,2348.378418,161.796387,-252.616821,2264.654785,-147.426773,410.717377,2222.975342,3,?
486,'2017/02/12 13:20:02:538',2,-358.606262,-264.756348,2375.428467,159.032959,-258.347168,2284.327881,-138.450806,403.094238,2257.144775,3,?
487,'2017/02/12 13:20:02:570',2,-351.162354,-265.310699,2406.490967,155.816574,-263.7901,2303.127197,-127.582085,399.556824,2281.671387,3,?
488,'2017/02/12 13:20:02:604',2,-344.289703,-267.698242,2427.488037,151.265488,-268.6745,2317.775879,-118.587318,392.194885,2316.983887,3,?
489,'2017/02/12 13:20:02:638',2,-337.94342,-273.774841,2445.900879,149.72757,-273.842194,2339.470459,-107.080894,390.213257,2341.139404,3,?
490,'2017/02/12 13:20:02:670',2,-336.24704,-271.891479,2467.705566,149.691437,-278.781555,2369.192139,-99.844513,389.482849,2360.692383,3,?
491,'2017/02/12 13:20:02:704',2,-334.948151,-270.490601,2490.119629,151.226776,-283.546387,2403.464844,-94.429192,386.131714,2389.441162,3,?
492,'2017/02/12 13:20:02:738',2,-336.745605,-271.238861,2510.61792,152.87117,-287.997864,2436.460449,-87.615601,386.670898,2407.861084,3,?
493,'2017/02/12 13:20:02:770',2,-334.874603,-264.801025,2525.275391,151.163345,-288.732117,2473.270996,-80.004723,383.140839,2437.086914,3,?
494,'2017/02/12 13:20:02:804',2,-337.991394,-263.005798,2535.257324,151.174805,-289.374512,2503.40918,-73.137672,383.353577,2464.670898,3,?
495,'2017/02/12 13:20:02:838',2,-341.891815,-256.878448,2545.226807,152.587097,-293.303162,2542.728027,-71.667717,386.276306,2490.470703,3,?
496,'2017/02/12 13:20:02:870',2,-342.998779,-252.017563,2550.286621,153.087692,-295.088684,2578.492676,-75.263969,391.224182,2517.894775,3,?
497,'2017/02/12 13:20:02:904',2,-341.216522,-243.010971,2550.755615,147.591309,-299.371826,2624.304199,-76.984451,387.985138,2539.479004,3,?
498,'2017/02/12 13:20:02:938',2,-350.158325,-232.792694,2554.325684,143.591568,-304.31012,2663.700928,-77.246605,385.342285,2569.866943,3,?
499,'2017/02/12 13:20:02:970',2,-357.994873,-230.23584,2560.371094,139.091736,-314.39978,2708.067871,-78.619202,385.544312,2604.081543,3,?
500,'2017/02/12 13:20:03:004',2,-359.27301,-232.866348,2583.206055,133.216141,-318.754456,2749.505371,-84.291893,381.664124,2640.192139,3,?
501,'2017/02/12 13:20:03:038',2,-357.278687,-239.422272,2598.82666,130.964981,-320.672302,2776.925537,-89.750008,381.310181,2668.229248,3,?
502,'2017/02/12 13:20:03:070',2,-349.520752,-244.751648,2621.914551,130.748215,-324.704254,2814.571045,-99.815643,380.105133,2680.748779,3,?
503,'2017/02/12 13:20:03:104',2,-352.201508,-245.311996,2630.236816,121.714447,-313.638916,2832.172607,-111.183731,372.037354,2697.996582,3,?
504,'2017/02/12 13:20:03:137',2,-360.321503,-255.860001,2632.480957,111.266296,-309.207672,2852.795898,-124.577667,366.987671,2729.200928,3,?
505,'2017/02/12 13:20:03:171',2,-365.076782,-263.735992,2645.290039,107.332169,-310.24054,2895.296875,-138.119324,360.499878,2751.732178,3,?
506,'2017/02/12 13:20:03:204',2,-372.852844,-267.424866,2669.313721,105.33654,-312.103638,2923.172607,-149.740189,356.297485,2775.501465,3,?
507,'2017/02/12 13:20:03:238',2,-378.223785,-269.56012,2687.171875,94.249634,-313.532135,2944.088867,-160.313248,349.702759,2787.861572,3,?
508,'2017/02/12 13:20:03:270',2,-384.93634,-275.010468,2715.930908,79.05558,-310.724701,2968.983643,-172.276688,344.445251,2795.054199,3,?
509,'2017/02/12 13:20:03:304',2,-390.499115,-279.657227,2746.884277,69.856369,-308.553772,2994.557129,-181.408035,342.260315,2819.133057,3,?
510,'2017/02/12 13:20:03:337',2,-398.512939,-283.255859,2790.399414,56.078506,-312.057098,3020.533447,-186.923462,341.907745,2843.212158,3,?
511,'2017/02/12 13:20:03:371',2,-401.264679,-289.189789,2835.188965,44.344322,-308.09375,3024.107422,-197.122452,349.067627,2852.269531,3,?
512,'2017/02/12 13:20:03:404',2,-406.767273,-292.421082,2864.043945,35.131409,-293.972168,3032.730957,-201.223068,348.277222,2869.745361,3,?
513,'2017/02/12 13:20:03:437',2,-416.983795,-300.165649,2894.970215,36.672176,-289.619019,3047.931152,-207.053131,347.839905,2893.451416,3,?
514,'2017/02/12 13:20:03:470',2,-425.006744,-306.78653,2929.274902,36.831024,-294.130127,3069.733398,-211.410156,349.970032,2922.842773,3,?
515,'2017/02/12 13:20:03:505',2,-431.926453,-312.438599,2967.805176,38.870548,-295.370972,3090.784424,-212.035309,344.288574,2943.541992,3,?
516,'2017/02/12 13:20:03:538',2,-437.642426,-316.876099,3003.132568,40.049461,-304.508392,3111.416016,-213.66394,346.247162,2959.922363,3,?
517,'2017/02/12 13:20:03:572',2,-443.64209,-321.301636,3038.253418,40.902119,-309.137939,3127.199463,-210.702133,339.249603,2970.069336,3,?
518,'2017/02/12 13:20:03:604',2,-442.189117,-321.529236,3066.568359,41.532364,-313.114014,3132.194092,-210.53923,340.248047,2985.237549,3,?
519,'2017/02/12 13:20:03:638',2,-438.575592,-326.209503,3097.679199,58.575386,-307.129822,3147.751221,-204.511505,337.418457,3018.736084,3,?
520,'2017/02/12 13:20:03:672',2,-439.24234,-330.078491,3133.883301,78.750359,-310.162628,3145.547852,-197.921097,334.716064,3051.957031,3,?
521,'2017/02/12 13:20:03:704',2,-428.988708,-314.553711,3143.910889,95.076889,-304.113037,3152.898438,-189.762909,334.258881,3076.591309,3,?
522,'2017/02/12 13:20:03:739',2,-420.471222,-320.510559,3168.194336,103.182434,-300.876892,3158.287598,-181.44252,332.736206,3105.171143,3,?
523,'2017/02/12 13:20:03:787',2,-411.382324,-330.026917,3191.952637,108.536667,-298.294617,3165.92041,-168.92749,330.539398,3132.604492,3,?
524,'2017/02/12 13:20:03:822',2,-402.290619,-332.427856,3204.312012,113.624489,-308.700226,3172.564453,-159.54126,326.58078,3159.952148,3,?
525,'2017/02/12 13:20:03:854',2,-387.451416,-335.328491,3220.878906,128.020309,-317.195862,3186.801025,-147.865356,321.327057,3172.101563,3,?
526,'2017/02/12 13:20:03:888',2,-375.845032,-324.196045,3248.932861,134.224747,-323.900818,3188.027588,-133.568268,317.986176,3207.69751,3,?
527,'2017/02/12 13:20:03:922',2,-360.476959,-320.478333,3278.92334,145.452011,-336.342682,3218.251465,-120.127914,309.622559,3238.95166,3,?
528,'2017/02/12 13:20:03:955',2,-333.953186,-335.304901,3281.992432,145.848587,-338.794159,3238.560059,-107.983505,312.963226,3257.667236,3,?
529,'2017/02/12 13:20:03:987',2,-320.766022,-333.32666,3300.530762,162.659073,-342.204803,3258.07251,-100.473862,320.031677,3280.987793,3,?
530,'2017/02/12 13:20:04:022',2,-305.845459,-325.854675,3323.423828,171.212814,-327.230225,3283.553711,-95.784065,326.784912,3303.091309,3,?
531,'2017/02/12 13:20:04:054',2,-286.294159,-310.270142,3345.298584,188.484039,-324.513855,3320.228027,-84.211571,328.76413,3333.064941,3,?
